frame,num_detections,mean_confidence,latency_ms
357,0,0.0,53.187
358,0,0.0,52.82
359,0,0.0,61.577
360,0,0.0,55.83
361,0,0.0,55.079
362,0,0.0,59.126
363,0,0.0,55.839
364,0,0.0,57.677
365,2,0.0601,65.895
366,0,0.0,63.573
367,0,0.0,57.23
368,0,0.0,61.081
369,0,0.0,67.775
370,0,0.0,62.444
371,0,0.0,55.305
372,0,0.0,53.259
373,0,0.0,55.943
374,0,0.0,52.263
375,0,0.0,57.398
376,0,0.0,53.902
377,0,0.0,58.971
378,0,0.0,52.335
379,1,0.0533,55.751
380,0,0.0,51.192
381,0,0.0,55.11
382,0,0.0,52.806
383,0,0.0,58.123
384,0,0.0,53.466
385,0,0.0,52.492
386,0,0.0,52.396
387,0,0.0,52.299
388,0,0.0,53.753
389,0,0.0,51.599
390,0,0.0,54.147
391,0,0.0,52.444
392,0,0.0,53.002
393,0,0.0,55.262
394,0,0.0,52.387
395,0,0.0,51.034
396,0,0.0,53.722
397,0,0.0,50.822
398,0,0.0,54.837
399,0,0.0,51.948
400,0,0.0,55.169
401,0,0.0,53.504
402,0,0.0,52.927
403,0,0.0,60.271
404,0,0.0,60.473
405,0,0.0,59.337
406,0,0.0,59.717
407,0,0.0,53.494
408,0,0.0,56.366
409,0,0.0,50.826
410,0,0.0,52.831
411,0,0.0,53.117
412,2,0.0561,52.776
413,0,0.0,55.196
414,0,0.0,51.81
415,0,0.0,54.622
416,0,0.0,55.507
417,0,0.0,54.372
418,0,0.0,52.775
419,0,0.0,52.568
420,0,0.0,59.235
421,0,0.0,51.44
422,0,0.0,55.798
423,1,0.0757,54.319
424,0,0.0,57.575
425,0,0.0,53.388
426,0,0.0,54.973
427,0,0.0,120.59
428,0,0.0,54.414
429,0,0.0,53.755
430,0,0.0,52.142
431,0,0.0,52.926
432,0,0.0,51.907
433,0,0.0,57.433
434,0,0.0,50.972
435,0,0.0,55.357
436,0,0.0,52.309
437,0,0.0,55.152
438,0,0.0,52.097
439,0,0.0,50.594
440,0,0.0,51.56
441,0,0.0,50.89
442,0,0.0,52.507
443,0,0.0,54.736
444,0,0.0,58.016
445,0,0.0,55.885
446,0,0.0,58.304
447,0,0.0,50.751
448,0,0.0,56.456
449,0,0.0,53.219
450,0,0.0,51.513
451,0,0.0,51.621
452,0,0.0,51.62
453,0,0.0,52.155
454,1,0.0939,51.032
455,0,0.0,51.28
456,0,0.0,51.811
457,0,0.0,52.475
458,0,0.0,57.043
459,0,0.0,54.347
460,0,0.0,52.159
461,0,0.0,53.364
462,0,0.0,51.521
463,0,0.0,54.424
464,0,0.0,52.613
465,0,0.0,52.551
466,0,0.0,54.654
467,0,0.0,58.02
468,0,0.0,56.33
469,0,0.0,52.319
470,0,0.0,51.448
471,0,0.0,50.688
472,0,0.0,54.586
473,1,0.0734,55.473
474,0,0.0,56.138
475,0,0.0,56.478
476,0,0.0,61.116
477,0,0.0,52.906
478,0,0.0,54.832
479,0,0.0,56.591
480,0,0.0,54.36
481,0,0.0,52.75
482,2,0.058,58.234
483,0,0.0,51.548
484,0,0.0,55.949
485,0,0.0,59.832
486,0,0.0,59.914
487,0,0.0,60.061
488,0,0.0,54.967
489,0,0.0,57.126
490,0,0.0,58.642
491,0,0.0,53.381
492,0,0.0,57.355
493,0,0.0,50.651
494,0,0.0,59.94
495,0,0.0,57.87
496,1,0.0636,50.88
497,0,0.0,55.632
498,0,0.0,58.544
499,0,0.0,51.619
500,0,0.0,54.16
501,0,0.0,52.665
502,0,0.0,53.925
503,0,0.0,52.602
504,0,0.0,54.259
505,0,0.0,56.386
506,0,0.0,52.283
507,0,0.0,50.356
508,0,0.0,51.876
509,0,0.0,55.618
510,0,0.0,57.91
511,0,0.0,51.876
512,0,0.0,53.701
513,0,0.0,51.69
514,0,0.0,51.238
515,0,0.0,52.015
516,0,0.0,57.349
517,0,0.0,56.385
518,0,0.0,52.848
519,0,0.0,56.567
520,0,0.0,53.842
521,0,0.0,51.744
522,0,0.0,57.016
523,0,0.0,57.446
524,0,0.0,51.943
525,1,0.0519,55.824
526,0,0.0,56.788
527,0,0.0,51.983
528,0,0.0,55.905
529,0,0.0,55.88
530,0,0.0,54.597
531,0,0.0,58.504
532,0,0.0,55.156
533,0,0.0,57.137
534,0,0.0,60.061
535,0,0.0,50.843
536,0,0.0,55.894
537,0,0.0,52.841
538,0,0.0,51.093
539,0,0.0,54.966
540,0,0.0,50.625
541,2,0.072,53.026
542,0,0.0,51.582
543,0,0.0,52.416
544,0,0.0,61.713
545,0,0.0,56.933
546,0,0.0,58.552
547,0,0.0,53.646
548,0,0.0,53.369
549,0,0.0,52.727
550,0,0.0,53.918
551,0,0.0,51.677
552,0,0.0,54.133
553,0,0.0,53.729
554,1,0.0687,53.718
555,0,0.0,55.752
556,0,0.0,52.792
557,0,0.0,52.208
558,0,0.0,53.451
559,0,0.0,57.749
560,0,0.0,52.952
561,0,0.0,54.973
562,0,0.0,53.241
563,0,0.0,51.835
564,0,0.0,52.754
565,0,0.0,53.02
566,1,0.0839,59.229
567,0,0.0,52.788
568,0,0.0,59.298
569,0,0.0,55.478
570,0,0.0,56.559
571,0,0.0,60.24
572,0,0.0,59.565
573,0,0.0,51.959
574,0,0.0,54.761
575,0,0.0,50.826
576,0,0.0,51.769
577,0,0.0,53.129
578,0,0.0,52.191
579,0,0.0,55.601
580,0,0.0,57.142
581,0,0.0,55.27
582,0,0.0,52.292
583,0,0.0,52.536
584,0,0.0,51.463
585,0,0.0,52.31
586,0,0.0,55.792
587,0,0.0,51.559
588,0,0.0,52.591
589,0,0.0,51.701
590,0,0.0,51.679
591,0,0.0,54.937
592,0,0.0,59.835
593,0,0.0,59.701
594,0,0.0,60.816
595,0,0.0,59.575
596,0,0.0,60.308
597,0,0.0,61.027
598,0,0.0,53.869
599,0,0.0,51.858
600,0,0.0,52.43
601,0,0.0,55.8
602,1,0.0542,56.679
603,0,0.0,53.57
604,0,0.0,53.2
605,1,0.0557,54.481
606,2,0.0699,53.194
607,0,0.0,53.99
